id,date_posted,district,okrug,lat,lon,total_area,living_area,kitchen_area,rooms,floor,total_floors,building_year,building_type,ceiling_height,has_balcony,renovation,metro_station,metro_line,metro_distance_min,metro_distance_type,to_center_km,price_rub,price_per_sqm,mortgage_rate_at_listing,seller_type
S000001,2024-11-23,Begovoy,SAO,55.79533,37.55519,71.0,46.5,6.1,2,19,25,1969,khrushchev,2.5,True,cosmetic,Sokol,Zamoskvoretskaya,18,transport,6.17,15739000,221700,23.5,agency
S000002,2025-08-13,Sokolniki,VAO,55.79695,37.68875,79.6,52.8,10.8,3,2,25,2016,modern_panel,2.5,True,no_renovation,Sokolniki,Sokolnicheskaya,7,walk,6.4,19685000,247300,19.5,owner
S000003,2022-05-06,Sosenskoye,NAO,55.54901,37.43118,74.0,42.2,8.9,2,6,9,2016,monolith,3.0,True,cosmetic,Polyanka,Serpukhovsko-Timiryazevskaya,102,transport,25.7,8621000,116400,12.0,owner
S000004,2025-04-08,Sviblovo,SVAO,55.86462,37.61471,52.3,34.0,6.0,1,5,22,2012,monolith,2.5,True,euro,Sviblovo,Kaluzhsko-Rizhskaya,9,walk,12.32,14771000,282400,23.5,agency
S000005,2023-07-16,Begovoy,SAO,55.79429,37.54631,62.2,38.3,13.1,2,12,12,2002,brick,2.5,True,cosmetic,Sapyornoye Pole,Bolshaya Koltsevaya,10,walk,6.47,18683000,300300,15.5,agency
S000006,2022-01-12,Yasenevo,YuZAO,55.59992,37.53257,46.9,30.9,10.7,1,2,9,2023,monolith,2.8,True,cosmetic,Yasenevo,Kaluzhsko-Rizhskaya,3,walk,17.99,12346000,263000,22.5,owner
S000007,2026-01-31,Veshnyaki,VAO,55.74208,37.78491,87.8,51.8,17.2,4,6,22,2017,monolith,2.7,True,designer,Novogireyevo,Kalininskaya,30,walk,10.35,17639000,201000,19.5,agency
S000008,2023-02-12,Akademichesky,YuZAO,55.70456,37.5526,65.2,41.6,10.4,2,4,5,2019,monolith,2.7,True,no_renovation,Leninsky Prospekt,Kaluzhsko-Rizhskaya,25,transport,6.95,16160000,247900,10.0,owner
S000009,2023-09-27,Lomonosovsky,YuZAO,55.69521,37.52937,38.2,23.8,10.3,1,2,5,2012,monolith,3.0,True,cosmetic,Studencheskaya,Filyovskaya,31,transport,8.68,11623000,304000,15.5,agency
S000010,2020-01-23,Sokolinaya Gora,VAO,55.76378,37.72263,41.7,23.6,8.3,1,9,9,1968,khrushchev,2.8,True,designer,Semyonovskaya,Arbatsko-Pokrovskaya,19,walk,6.47,5878000,140900,8.5,agency
S000011,2022-01-02,Troitsk,TAO,55.49795,37.30588,98.1,61.5,13.9,4,5,25,1970,panel,2.7,False,euro,Chkalovskaya,Lyublinsko-Dmitrovskaya,155,transport,34.65,7921000,80800,22.5,agency
S000012,2022-02-14,Nagatinsky Zaton,YuAO,55.70254,37.67707,68.4,45.3,11.5,2,17,25,1951,brick,3.0,True,no_renovation,Nagatinskaya,Serpukhovsko-Timiryazevskaya,15,transport,6.71,15408000,225200,22.5,agency
S000013,2023-03-03,Moskvorechye-Saburovo,YuAO,55.64299,37.68749,52.7,30.8,9.7,1,17,17,2003,monolith,2.8,True,no_renovation,Sokol,Zamoskvoretskaya,88,transport,13.02,7162000,135900,10.0,owner
S000014,2020-11-01,Zapadnoye Degunino,SAO,55.88921,37.55478,75.7,44.9,9.3,2,3,5,2003,monolith,2.5,True,cosmetic,Chistye Prudy,Sokolnicheskaya,58,transport,15.6,9042000,119500,6.75,agency
S000015,2024-12-18,Severnoye Butovo,YuZAO,55.59449,37.5793,59.6,40.2,7.9,1,4,9,1947,stalin,3.5,True,cosmetic,Yuzhnaya,Serpukhovsko-Timiryazevskaya,23,transport,17.92,12902000,216300,23.5,owner
S000016,2021-06-30,Ostankinsky,SVAO,55.82922,37.61923,94.7,53.6,9.6,3,7,17,2003,modern_panel,2.7,True,designer,VDNKh,Kaluzhsko-Rizhskaya,14,walk,8.38,27655000,292000,11.0,owner
S000017,2021-03-26,Golovinsky,SAO,55.87677,37.53568,53.8,35.1,9.9,1,2,9,2018,monolith,3.0,True,no_renovation,Rechnoy Vokzal,Zamoskvoretskaya,23,walk,14.66,7321000,136200,6.75,agency
S000018,2023-04-25,Krasnopakhorskoye,TAO,55.44063,37.28974,59.5,33.2,10.7,1,5,5,2021,modern_panel,3.2,False,euro,Kakhovskaya,Bolshaya Koltsevaya,128,transport,40.57,4124000,69300,10.0,agency
S000019,2025-04-10,Orekhovo-Borisovo Yuzhnoye,YuAO,55.61526,37.70305,66.4,39.2,10.1,2,6,12,2015,monolith,2.7,True,cosmetic,Mayakovskaya,Zamoskvoretskaya,79,transport,16.25,11101000,167200,23.5,agency
S000020,2023-01-16,Desyonovskoye,NAO,55.51871,37.49408,68.5,46.4,12.1,2,13,22,1947,stalin,3.0,True,euro,Kantemirovskaya,Zamoskvoretskaya,77,transport,27.33,10909000,159200,10.0,owner
S000021,2025-12-02,Nagorny,YuAO,55.67374,37.6368,40.6,27.2,13.3,1,22,22,2019,modern_panel,2.7,True,no_renovation,Nagornaya,Serpukhovsko-Timiryazevskaya,6,walk,8.97,9531000,234600,19.5,agency
S000022,2025-10-27,Brateyevo,YuAO,55.65782,37.76119,48.5,33.4,12.5,2,4,5,1980,panel,2.7,False,euro,Tyoply Stan,Kaluzhsko-Rizhskaya,71,transport,13.84,7248000,149500,19.5,agency
